Unnamed: 0,date,lat,lon,panoID,probability ,wall,building,sky,greenery,terrain type ,vehicles,path ,person,fence,signboard,pole,bicycle
0,2023-10,44.52415448,11.29366263172407,Q_94PAMIyuCL9-QKYNHS9Q,0.727230132,0,0,0,0,0,0,0,0,0,0,0,0
1,2023-09,44.52446957148532,11.30072671842985,8teCjXvTL86copc68ypZNg,0.706975607,1.36,0.8,42.24,7.48,0.01,2.73,35.02,0,2.64,0.18,0,0
2,2023-09,44.52502883894139,11.30759043799752,9Cpv5GXItkMTb7LvwgM8FA,0.682058672,1.09,0.51,44.89,7.57,0,12.43,23.14,0.02,4.4,0.24,0,0
3,2023-09,44.52769637929656,11.31418590470425,ZvVHLi-X0ef6VbT65KDSqw,0.645745154,2.97,10.6,39.3,4.28,0.1,2.67,38.43,0,0.96,0.06,0,0
4,2023-09,44.53061783894457,11.32041940744362,QQRGUeHcdx3u8vMC3zS-_w,0.608646612,0,0,0,0,0,0,0,0,0,0,0,0
5,2023-10,44.53220496565895,11.32724978122424,e10-UEqvhACU5TN5X8WXnw,0.574008283,20,13.9,17.7,7.59,0.02,4.18,23.85,0.04,1.71,0.03,0.01,0
6,2023-10,44.53188598681338,11.33423334459758,yo-dWzkxZfv19uqEwDX0lw,0.545008314,9.87,0.1,16.82,7.78,0.16,1.38,38.54,0,1.57,0.42,0,0
7,2023-09,44.53061860443209,11.34111508,jEAlcEkgklk_Uyt5EiyjUw,0.518098603,0,0,0,0,0,0,0,0,0,0,0,0
8,2023-10,44.52918238567602,11.34795456150653,SWmbPTunoAs0GIuwSo5XYg,0.490031456,13.72,14.05,26.54,3.07,0,7.14,23.5,0.04,5.62,0.12,0.01,0
9,2021-03,44.51803306721072,11.3740144,W8sen6cwhmhK9ICLKKL_qg,0.38219358,0,0,0,0,0,0,0,0,0,0,0,0
10,2023-09,44.43144880395185,11.27632840357182,HqALa7tBXpnAbKlMyshxLA,0.705261563,8.69,1.23,24.06,12.66,0.05,3.95,34.74,0,1.71,0.04,0,0
11,2023-09,44.43828503,11.27786604260225,Y34st2oHN80f97_l2arghw,0.745252635,0,0,0,0,0,0,0,0,0,0,0,0
12,2023-07,44.44507235787078,11.27941362861349,FE5ytRa5zJW23DLaYfRi0Q,0.784461978,8.18,2.04,36.34,12.65,0.21,1.28,32.49,0,4.28,0,0,0
13,2023-07,44.48093450719551,11.43120731408042,uUX7WI9jwGwudqj9TdF9lQ,0.083988219,0.5,0.51,40.61,26.5,1.22,5.75,16.44,0.05,4.06,0.09,0.3,0
14,2023-10,44.48067931757605,11.42987494,rw-j_49hfoltyHswgDr1ZA,0.091831986,0,0,0,0,0,0,0,0,0,0,0,0
15,2023-09,44.49172162,11.27048986315321,3I-0SdYqSYejdRvkoHgpCA,0.932132653,0,0,42.2,9.7,0.63,0.12,35.34,0.02,5.79,0.4,0,0
16,2023-09,44.49862216299397,11.27169460744833,Ioln0BZM7KWjjHKZ3jsOng,0.896162276,5.71,0.15,40.51,13.86,0.1,3.95,27.88,0,2.38,0.08,0,0
17,2023-09,44.50543713789189,11.27300907729058,zZ4-V94lyDgWg-pxCxfkQA,0.857867724,1.85,1.19,45.05,4.51,0.03,3.33,36.29,0,4.71,0.31,0,0
18,2023-09,44.51124585050879,11.27675433130508,gUcwMhIB4haaZoDwSExcJw,0.82445515,2.29,0.72,43.23,8.99,0.34,5.33,33.26,0,2.48,0,0,0
19,2023-09,44.51659837406611,11.28137301976772,VQzgaBQVnr48kv29lNLIDw,0.7903761,11.49,4.59,42.24,1.64,0.26,1.88,33.81,0,3.6,0.05,0,0
20,2023-09,44.52181048200561,11.28604544202217,tMeF7lr42Zh0RHKC3ED-aw,0.754677757,0.83,0.05,43.46,12.84,0.21,1.03,34.62,0,2.95,0.12,0,0
21,2023-07,44.52404472839444,11.29252971637096,z24Uga6CybxC26CCae62pg,0,1.82,1.08,38.58,4.4,0,10.71,34.93,0,7.75,0.43,0.01,0
22,2023-07,44.48614756395151,11.26439474585099,crRaZd2vSmcOfU6eFfa6gw,0.927692774,0.04,1.16,31.96,28.79,0,2.74,24.13,0,9.39,1.12,0,0
23,2023-10,44.47979044,11.44716405,sdSGeri0zcqWs7IH8xFn3w,-0.010071299,1.48,0,33.74,21.12,0,0.11,39.36,0,2.24,0.08,0,0
24,2023-10,44.48067114,11.44033764787581,j17dI7Ost92Jvup0nsxiPg,0.030186621,5.65,0.07,42.16,11.05,0,4.01,33.73,0,0.73,0.14,0,0
25,2023-10,44.48067475,11.43324633,szdGI36xofUgWgbasOFNVg,0.071968004,0.13,0.15,44.56,8.64,0.32,7.1,34.33,0,1.7,0.38,0,0
26,2023-08,44.48466361394283,11.25849680413799,GACqG0_lBnS9kW2ItS_VdA,0.896673899,0,0,0,0,0,0,0,0,0,0,0,0
27,2015-07,44.49726005125262,11.35050755886042,InttJ2mm5Y-b7rdeAj19RQ,0.549755715,11.29,39.27,1.05,21.35,0,11.21,12.9,0.01,0.74,0.1,0,0
28,2022-07,44.46596359668834,11.4206858,5j7mpYfNi-_qc_mgdp3WHQ,0.141113352,0,0,0,0,0,0,0,0,0,0,0,0
29,2020-08,44.4912635,11.34653063591532,VpEv9OK5-RIvK9PHbNfRSg,0.578932144,16.84,43.28,1.18,0.08,0,2.98,5.41,0.16,0.02,0.36,6.62,0.06
30,2022-04,44.48134437073809,11.34941003082717,bZ8kUVcMBEF3evPiSf9hnQ,0.565939479,3.67,40.29,8.03,15.41,0,0.77,21.23,0.14,6.82,0.33,0.31,0
31,2022-04,44.47999196696204,11.34818175,583de-GL3mYxDVdCyVEAmg,0.573088351,1.64,15.28,4.2,55.9,0,6.06,10.26,0.02,3.29,0.15,0.64,0
32,2022-04,44.48280361684505,11.34310124551276,Uyi4XUQiGaqII8MJ0kWb-w,0.60303332,1.98,0.49,19.1,37.52,0.16,16.84,22.17,0,1.74,0,0,0
33,2022-03,44.48233901,11.27643001412315,56Faex6RMQQOhcR-mAiJng,0.993458885,0.1,26.45,15.71,18.19,0.16,16.29,18.71,0.13,1.07,0.61,0.01,0
34,2022-03,44.48146916,11.27574018695323,BJ7lNskdqZslvkbybrjCAw,1,2.52,48.61,9.46,9.19,0,9.37,14.9,0,4.86,0.17,0.02,0
35,2022-03,44.48007399100139,11.27300331,FA_UmNiajeb70R4z0rxn3g,0.981900058,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-03,44.48263266176288,11.27523612587451,upWzzxjTikY10nnUh-_6kg,0.992529028,0,0,0,0,0,0,0,0,0,0,0,0
37,2023-10,44.47902035439485,11.27233057819798,33T9WK21B9a7ceIwkwWJbA,0.975266311,8.79,6.43,40.96,8.47,0.33,6.8,19.4,0,7.03,0.14,0.35,0
38,2023-10,44.48401336,11.27233989548627,fSAJwwAYVfvG25GdyC8mCg,0.974978282,0,1.21,35.88,21.38,0.15,0.12,28.3,0,10.58,0.84,0.03,0
39,2022-03,44.48329444150055,11.27269365510204,QmEDE05wzGixHDjFy1lztw,0.97907483,23.7,3.58,17.98,13.76,0.97,0.06,25.55,0.01,1.53,0.1,0.48,0
40,2022-03,44.48538812089655,11.27010538010103,IY6-2emuKYYJXAKwuiiOpA,0.95955979,0.26,8.93,37.41,28.13,0.21,0.51,24.15,0,0,0.05,0.05,0
41,2022-03,44.48524667941396,11.26421049,gcGfBxOXwJAOeuT3uCOp5g,0.928514294,1.17,9.85,27.74,23.04,0,0.06,37.1,0,0.45,0.21,0.01,0
42,2022-03,44.48702669330427,11.26102777167282,Ws3W2uHD19v1RL2HX9a_oQ,0.907336568,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-03,44.48685731181178,11.25954322,7RT9LSO38rbr6nohrRhwUA,0.89942609,2.13,37.25,15.05,5.23,0,18.36,14.72,0,6.58,0.01,0.07,0
44,2022-03,44.48794409835996,11.26239834,rm1vq_UzBwf2QoGJmsxlZA,0.912622023,0,0,0,0,0,0,0,0,0,0,0,0
45,2022-10,44.52572209518829,11.35824083,xXl0fGWR2QmZEFcawczhJA,0.448395338,0.07,2,43.77,13.14,0.23,3.11,25.25,0,8.8,1.8,0.02,0
46,2023-08,44.52614463967919,11.35708393332086,AU_bsXjCQ_Ex0bS1t7TNvA,0.453198545,0,0,0,0,0,0,0,0,0,0,0,0
47,2022-07,44.52774827222105,11.35316273384854,Ij4rLLmgrJ1x-Ahzspl73g,0.468546147,5.2,16.97,32.98,2.86,0,1.11,29.93,0,6.47,0.45,0.29,0
48,2023-07,44.52480139437893,11.3587416,#NAME?,0.448324921,0,0,0,0,0,0,0,0,0,0,0,0
49,2023-10,44.49588189813826,11.29706527025079,A-R91wOlTeEfitl_-XGPpw,0.848347936,0,0,0,0,0,0,0,0,0,0,0,0
50,2023-10,44.48918059298322,11.27214001797519,O2FOl75Zg5K9NFHtgg2zcw,0.949856884,2.26,6.15,17.89,25.71,0.01,0.65,31.53,0,2.58,0.56,0.19,0
51,2022-11,44.52859072025761,11.35886455968932,3KGhZz7PSRq_XCSFkgxE_g,0.437013787,0,0,0,0,0,0,0,0,0,0,0,0
52,2022-11,44.52513902180766,11.35877594618199,abDyj_3d8EO6Mofmn_CjLw,0.447222351,0,0,0,0,0,0,0,0,0,0,0,0
53,2023-10,44.52745640289146,11.35377803847545,RWV09nA_jgCTWb2F0nrH1A,0.466306216,0,0,0,0,0,0,0,0,0,0,0,0
54,2023-10,44.52955072588688,11.34703151157213,OBb2rEK3DI5KdoZpr3wTGw,0.493349859,0.03,1.21,34.89,7.07,0.01,8.16,29.46,0.03,10.02,0.34,0,0.26
55,2023-09,44.53090545913524,11.34018372716318,b68QoO2_I33xo7GssnP1ww,0.521446532,0,0,0,0,0,0,0,0,0,0,0,0
